url	first_seen	portal	title	company	status	location	fingerprint	posted_at	trust_score	trust_flags	normalized_company
https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Software-Engineering-MTS--Full-Stack-_JR339748	2026-09-07	workday-api	Software Engineering MTS (Full Stack) - AI Generalist (Demo Tools & Platform Engineering)	Salesforce	added	India - Hyderabad		2026-09-02			salesforce
https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Principal-Software-Engineer---PMTS---Bangalore_JR282414	2026-09-07	workday-api	Principal Software Engineer / PMTS - Bangalore	Salesforce	added	India - Bangalore		2026-08-25			salesforce
https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210765117	2026-09-07	oraclecloud-api	Senior Lead Software Engineer Java Spring boor Gen AI	JPMorgan Chase	added	Mumbai, Maharashtra, India		2026-09-07			jpmorgan chase
https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210776144	2026-09-07	oraclecloud-api	Lead Software Engineer - Python	JPMorgan Chase	added	Bengaluru, Karnataka, India		2026-09-07			jpmorgan chase
https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210776310	2026-09-07	oraclecloud-api	Lead Software Engineer	JPMorgan Chase	added	Hyderabad, Telangana, India		2026-09-07			jpmorgan chase
https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210782437	2026-09-07	oraclecloud-api	Lead Software Engineer - Terraform, Python, Kubernetes	JPMorgan Chase	added	Bengaluru, Karnataka, India		2026-09-07			jpmorgan chase
https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210783501	2026-09-07	oraclecloud-api	Lead Software Engineer - Python, Trading	JPMorgan Chase	added	Bengaluru, Karnataka, India		2026-09-07			jpmorgan chase
https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210788189	2026-09-07	oraclecloud-api	Lead Software Engineer- Linux	JPMorgan Chase	added	Bengaluru, Karnataka, India		2026-09-07			jpmorgan chase
https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210748542	2026-09-07	oraclecloud-api	Lead Software Engineer - Java Full Stack	JPMorgan Chase	added	Hyderabad, Telangana, India		2026-09-04			jpmorgan chase
https://jpmc.fa.oraclecloud.com/hcmUI/CandidateExperience/en/sites/CX_1001/job/210780917	2026-09-07	oraclecloud-api	Principal Software Engineer -Forward Deployment Engineer - Databricks	JPMorgan Chase	added	Hyderabad, Telangana, India		2026-09-04			jpmorgan chase
